firstname,lastname,suffix
Willelmus,Cotson,
William,Billyng,
William,Bolosse,
William,Caxton,
William,Colyngbourne,
William,Cornish,(?)
William,Cornish,
William,Cotson,
William,de la Pole,(?)
William,de la Pole,(attrib.)
William,Dunbar, (attrib.)
William,Dunbar,(?)
William,Dunbar,(attrib.)
William,Dunbar,
William,Herebert,(friar)
William,Herebert,
William,Huchen,
William,Langland,
William,Lichfield,
William,Meniman,
William,Nevill,
William,Paris,
William,Peeris,
William,Peers,
William,Reyboles,
William,Shoreham,
William,Stevenns,
William,Stewart,
William,Thame,
William,Thorpe,(attrib.)
William,Wey,
William,Womyndham,OSA
William,Wymondham,
William of,Nassington,
William of,Shoreham,
William of,Tours,
Wynkyn,de Worde,
,Aesop,
,"Aldred, Bishop of York",(attrib.)
,"Alfred the Great, king",
,Athelstan,(attrib.)
,Augustine, (attrib.)
,Augustine,(attrib.)
,Ausonius,
,Banistor,
,Boethius,
,Bridlington,
,Carter,
,Cato,
,Claudianus,
,Duxworth,
,Farnelay,
,Geber,
,Halsham,(?)
,Hendyng,(attrib.)
,Hendyng,
,Henry VI,(attrib.)
,Henry VII,
,Henry VIII,(attrib.)
,houghton,
,Impingham,
,"James I, king of Scotland",(attrib.)
,Langtoft,
,Laȝamon,
,leghrewell,
,leweston,
,Lichtoun,
,Lonuyon,
,Lynne,(?)
,Lyty,
,Merlin,(attrib.)
,Merlin,
,mo-rga-nus,
,More,
,nicholaus,
,Orm,
,Palden,
,Palladius,
,Preston,
,Prudentius,
,Rate,
,Reginald,
,"Reynold,",lord Grey of Ruthin (1388-1440)
,Richardoune,(attrib.)
,Rose,
,Rotheley,
,Seneca,
,Sheringham,
,Sheryngham,
,Sonwyn,
,Symon,
,Twici,
,Virgil,
,Wytton,
