xml_id,dimev_idno,match_kind,bodleian_shelfmark,cat_id,cat_url,n_facsimiles,facsimile_urls,file
BodLauMis740,Laud misc. 740,exact,MS. Laud Misc. 740,manuscript_7519,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7519,2,https://digital.bodleian.ox.ac.uk/objects/ac893a68-b735-4cf8-873f-bf05442d7887/ https://digital.bodleian.ox.ac.uk/objects/8583c988-aa6a-4572-8881-5a6ac86daf30/,collections/Laud_Misc/MS_Laud_Misc_740.xml
BodLauMis748,Laud misc. 748,exact,MS. Laud Misc. 748,manuscript_7526,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7526,1,https://digital.bodleian.ox.ac.uk/objects/403e13b4-f6dd-4683-a4fb-950f52ef6c71/,collections/Laud_Misc/MS_Laud_Misc_748.xml
BodLiturg104,Liturg. 104,exact,MS. Liturg. 104,manuscript_7702,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7702,1,https://digital.bodleian.ox.ac.uk/objects/df30be47-ac71-4ebc-8996-69a699392c67/,collections/Liturg/MS_Liturg_104.xml
BodLye16,Lyell 16,exact,MS. Lyell 16,manuscript_7745,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7745,0,,collections/Lyell/MS_Lyell_16.xml
BodLye24,Lyell 24,exact,MS. Lyell 24,manuscript_7754,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7754,1,https://digital.bodleian.ox.ac.uk/objects/19368a52-3231-41cb-850d-f8a38a634bd1/,collections/Lyell/MS_Lyell_24.xml
BodLye28,Lyell 28,exact,MS. Lyell 28,manuscript_7758,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7758,0,,collections/Lyell/MS_Lyell_28.xml
BodLye30,Lyell 30,exact,MS. Lyell 30,manuscript_7761,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7761,1,https://digital.bodleian.ox.ac.uk/objects/38c3b668-2804-47c9-909e-beae1fc991cf/,collections/Lyell/MS_Lyell_30.xml
BodLye31,Lyell 31,exact,MS. Lyell 31,manuscript_7762,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7762,1,https://digital.bodleian.ox.ac.uk/objects/15f6af94-f6e4-4d0f-a3b5-1cad5f1125ed/,collections/Lyell/MS_Lyell_31.xml
BodLye34,Lyell 34,exact,MS. Lyell 34,manuscript_7765,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7765,0,,collections/Lyell/MS_Lyell_34.xml
BodLye35,Lyell 35,exact,MS. Lyell 35,manuscript_7766,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7766,0,,collections/Lyell/MS_Lyell_35.xml
BodLyeEmp6,Lyell Empt. 6,exact,MS. Lyell empt. 6,manuscript_7842,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7842,1,https://digital.bodleian.ox.ac.uk/objects/e859d349-1a47-41a6-b107-898854f63418/,collections/Lyell/MS_Lyell_empt_6.xml
BodTan17,Tanner 17,exact,MS. Tanner 17,manuscript_8976,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8976,1,https://digital.bodleian.ox.ac.uk/objects/a0681c2a-65c5-4fe2-b6e7-0fb13746b199/,collections/Tanner/MS_Tanner_17.xml
BodTan110,Tanner 110,exact,MS. Tanner 110,manuscript_8968,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8968,0,,collections/Tanner/MS_Tanner_110.xml
BodTan169,Tanner 169*,exact,MS. Tanner 169*,manuscript_8975,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8975,1,https://digital.bodleian.ox.ac.uk/objects/fb444229-b937-4f05-b596-241621638562/,collections/Tanner/MS_Tanner_169-star.xml
BodTan196,Tanner 196,exact,MS. Tanner 196,manuscript_8988,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8988,0,,collections/Tanner/MS_Tanner_196.xml
BodTan201,Tanner 201,exact,MS. Tanner 201,manuscript_8992,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8992,1,https://digital.bodleian.ox.ac.uk/objects/d0f14dbb-58a2-4919-a080-de9200cd855c/,collections/Tanner/MS_Tanner_201.xml
BodTan346,Tanner 346,exact,MS. Tanner 346,manuscript_9005,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9005,2,https://digital.bodleian.ox.ac.uk/objects/c75d5cb5-f565-4081-a183-59d646a8479c/ https://digital.bodleian.ox.ac.uk/objects/b89ca484-c371-41bc-86ca-62d8fd6cdecc/,collections/Tanner/MS_Tanner_346.xml
BodTan347,Tanner 347,exact,MS. Tanner 347,manuscript_9006,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9006,0,,collections/Tanner/MS_Tanner_347.xml
BodTan407,Tanner 407,exact,MS. Tanner 407,manuscript_9013,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9013,1,https://digital.bodleian.ox.ac.uk/objects/d54cd0f2-60a3-400f-b1f7-3fab3aac42cb/,collections/Tanner/MS_Tanner_407.xml
BodWoodD8,Wood D.8,exact,MS. Wood D. 8,manuscript_9042,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9042,0,,collections/Wood/MS_Wood_D_8.xml
BodWoodEmpt18,Wood empt. 18,exact,MS. Wood empt. 18,manuscript_9054,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9054,0,,collections/Wood/MS_Wood_empt_18.xml
BodWoodEmpt25,Wood empt. 25,exact,MS. Wood empt. 25,manuscript_9061,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9061,0,,collections/Wood/MS_Wood_empt_25.xml
BodDond206,Don. d. 206,exact,MS. Don. d. 206,manuscript_4462,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_4462,0,,collections/Don/MS_Don_d_206.xml
BodDou290,Douce 290,exact,MS. Douce 290,manuscript_4629,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_4629,0,,collections/Douce/MS_Douce_290.xml
BodHat20,Hatton 20,exact,MS. Hatton 20,manuscript_6052,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_6052,2,https://digital.bodleian.ox.ac.uk/objects/2c391baa-ecff-4411-aad9-2567dbe44b85/ https://digital.bodleian.ox.ac.uk/objects/47cd3bda-cd9f-43bb-87cc-4876eec3c67a/,collections/Hatton/MS_Hatton_20.xml
BodHat50,Hatton 50,exact,MS. Hatton 50,manuscript_6075,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_6075,0,,collections/Hatton/MS_Hatton_50.xml
BodLauMis511,Laud misc. 511,exact,MS. Laud Misc. 511,manuscript_7313,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7313,0,,collections/Laud_Misc/MS_Laud_Misc_511.xml
BodLauMis533,Laud misc. 533,exact,MS. Laud Misc. 533,manuscript_7336,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7336,1,https://digital.bodleian.ox.ac.uk/objects/5c628de0-8ea1-425e-928a-61c0fbc7a59d/,collections/Laud_Misc/MS_Laud_Misc_533.xml
BodLauMis571,Laud misc. 571,exact,MS. Laud Misc. 571,manuscript_7370,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_7370,0,,collections/Laud_Misc/MS_Laud_Misc_571.xml
BodTan11,Tanner 11,exact,MS. Tanner 11,manuscript_8967,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8967,0,,collections/Tanner/MS_Tanner_11.xml
BodAddA11,Addit. A.11,abbrev,MS. Add. A. 11,manuscript_9,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9,0,,collections/Add_A/MS_Add_A_11.xml
BodAddA106,Addit. A.106,abbrev,MS. Add. A. 106,manuscript_5,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_5,0,,collections/Add_A/MS_Add_A_106.xml
BodAddA268,Addit. A.268,abbrev,MS. Add. A. 268,manuscript_48,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_48,0,,collections/Add_A/MS_Add_A_268.xml
BodAddA369,Addit. A.369,abbrev,MS. Add. A. 369,manuscript_60,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_60,1,https://digital.bodleian.ox.ac.uk/objects/61120deb-7b6b-409d-bd8d-461dc3432a00/,collections/Add_A/MS_Add_A_369.xml
BodAddB60,Addit. B.60,abbrev,MS. Add. B. 60,manuscript_90,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_90,0,,collections/Add_B/MS_Add_B_60.xml
BodAddB66,Addit. B.66,abbrev,MS. Add. B. 66,manuscript_93,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_93,0,,collections/Add_B/MS_Add_B_66.xml
BodAddB107,Addit. B.107,abbrev,MS. Add. B. 107,manuscript_79,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_79,1,https://digital.bodleian.ox.ac.uk/objects/b6f6e693-efa2-4a21-a106-d2abc8010764/,collections/Add_B/MS_Add_B_107.xml
BodAddC38,Addit. C.38,abbrev,MS. Add. C. 38,manuscript_153,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_153,0,,collections/Add_C/MS_Add_C_38.xml
BodAddC220,Addit. C.220,abbrev,MS. Add. C. 220,manuscript_129,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_129,1,https://digital.bodleian.ox.ac.uk/objects/67863268-97db-40b5-a9e8-f69e74a2d7bd/,collections/Add_C/MS_Add_C_220.xml
BodAddC280,Addit. C.280,abbrev,MS. Add. C. 280,manuscript_145,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_145,0,,collections/Add_C/MS_Add_C_280.xml
BodAddE4,Addit. E.4,abbrev,MS. Add. E. 4 (R),manuscript_183,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_183,1,https://digital.bodleian.ox.ac.uk/objects/371e964a-6da5-4dcf-881d-6a4f8c66319d/,collections/Add_E/MS_Add_E_4_R.xml
BodAddE6,Addit. E.6,abbrev,MS. Add. E. 6 (R),manuscript_184,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_184,0,,collections/Add_E/MS_Add_E_6_R.xml
BodAddE7,Addit. E.7,abbrev,MS. Add. E. 7 (R),manuscript_185,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_185,0,,collections/Add_E/MS_Add_E_7_R.xml
BodAshRol21,Ashmole Rolls 21,abbrev,MS. Ash. Rolls 21,manuscript_193,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_193,1,https://digital.bodleian.ox.ac.uk/objects/f7906de8-1c83-44f8-8e01-a6501f90fcf1/,collections/Ash_Rolls/MS_Ash_Rolls_21.xml
BodAshRol40,Ashmole Rolls 40,abbrev,MS. Ash. Rolls 40,manuscript_9782,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_9782,1,https://digital.bodleian.ox.ac.uk/objects/b5366239-58ab-4033-9b90-0597f8275a25/,collections/Ash_Rolls/MS_Ash_Rolls_40.xml
BodAshRol52,Ashmole Rolls 52,abbrev,MS. Ash. Rolls 52,manuscript_186,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_186,1,https://digital.bodleian.ox.ac.uk/objects/d13a88bc-70e9-4d1f-be47-c705dca6786c/,collections/Ash_Rolls/MS_Ash_Rolls_52.xml
Bod9,Bodley 9,abbrev,MS. Bodl. 9,manuscript_1873,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1873,0,,collections/Bodl/MS_Bodl_9.xml
Bod26,Bodley 26,abbrev,MS. Bodl. 26,manuscript_1313,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1313,0,,collections/Bodl/MS_Bodl_26.xml
Bod34,Bodley 34,abbrev,MS. Bodl. 34,manuscript_1378,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1378,0,,collections/Bodl/MS_Bodl_34.xml
Bod42,Bodley 42,abbrev,MS. Bodl. 42,manuscript_1452,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1452,0,,collections/Bodl/MS_Bodl_42.xml
Bod48,Bodley 48,abbrev,MS. Bodl. 48,manuscript_1512,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1512,0,,collections/Bodl/MS_Bodl_48.xml
