term,category,count,new term
aabbbaa,versePattern,1,aabbbaa; 7-line stanza
aabbbbb,versePattern,1,aabbbbb; 7-line stanza
aabbbbbb,versePattern,1,aabbbbbb; 8-line stanza
aabbbbcc,versePattern,2,aabbbbcc; 8-line stanza
aabbc,versePattern,2,aabbc; 5-line stanza
aabbcbbc,versePattern,1,aabbcbbc; 8-line stanza
aabbcbc,versePattern,5,aabbcbc; 7-line stanza
aabbcc,versePattern,16,aabbcc; 6-line stanza
aabbccc,versePattern,3,aabbccc; 7-line stanza
aabbcccd,versePattern,1,aabbcccd; 8-line stanza
aabbccdd,versePattern,7,aabbccdd; 8-line stanza
aabbccddee,versePattern,1,aabbccddee; 10-line stanza
aabbcdcd,versePattern,1,aabbcdcd; 8-line stanza
aabbcddc,versePattern,3,aabbcddc; 8-line stanza
aabbcded,versePattern,1,aabbcded; 8-line stanza
aabc,versePattern,2,aabc; 4-line stanza (quatrain)
aabcb,versePattern,2,aabcb; 5-line stanza
aabcbc,versePattern,6,aabcbc; 6-line stanza
aabcbcb,versePattern,1,aabcbcb; 7-line stanza
aabcbcc,versePattern,1,aabcbcc; 7-line stanza
aabcbccdd,versePattern,1,aabcbccdd; 9-line stanza
aabcbcdcecfgfhh,versePattern,1,aabcbcdcecfgfhh; 15-line stanza
aabcbcdddefffegggg,versePattern,1,aabcbcdddefffegggg; 18-line stanza
aabccb,versePattern,184,aabccb; 6-line stanza
aabccb aabccb,versePattern,3,aabccb; 6-line stanza
aabccbdd,versePattern,2,aabccbdd; 8-line stanza
aabccbddb,versePattern,4,aabccbddb; 9-line stanza
aabccbddbeeb,versePattern,35,aabccbddbeeb; 12-line stanza
aabccbddbeebff,versePattern,1,aabccbddbeebff; 14-line stanza
aabccbddbeebffgggf,versePattern,1,aabccbddbeebffgggf; 18-line stanza
aabccbddbeebfgggf,versePattern,1,aabccbddbeebfgggf; 17-line stanza
aabccbddedde,versePattern,1,aabccbddedde; 12-line stanza
aabccbddeffe,versePattern,4,aabccbddeffe; 12-line stanza
aabccbddeffegghiih,versePattern,1,aabccbddeffegghiih; 18-line stanza
aabcccd,versePattern,1,aabcccd; 7-line stanza
aabccd,versePattern,1,aabccd; 6-line stanza
aabccdd,versePattern,1,aabccdd; 7-line stanza
aabcdd,versePattern,2,aabcdd; 6-line stanza
aacd,versePattern,1,aacd; 4-line stanza (quatrain)
ab,versePattern,11,DELETE
aba,versePattern,8,aba; 3-line stanza
aba (or abcb),versePattern,1,aba; abcb; 3-line stanza; 4-line stanza (quatrain)
abaa,versePattern,1,abaa; 4-line stanza (quatrain)
abaaa,versePattern,1,abaaa; 5-line stanza
abaaab,versePattern,1,abaaab; 6-line stanza
abaab,versePattern,3,abaab; 5-line stanza
abaabbcdeed,versePattern,1,abaabbcdeed; 11-line stanza
abaac,versePattern,1,abaac; 5-line stanza
abab,versePattern,498,abab; 4-line stanza (quatrain)
abab with all b-rhymes rhyming with each other,versePattern,1,abab; 4-line stanza (quatrain); through-rhyme
ababa,versePattern,4,ababa; 5-line stanza
ababaa,versePattern,1,ababaa; 6-line stanza
ababaa(x),versePattern,1,ababaax; 7-line stanza
ababaab,versePattern,1,ababaab; 7-line stanza
ababaababa,versePattern,1,ababaababa; 10-line stanza
ababab,versePattern,5,ababab; 6-line stanza
abababa,versePattern,1,abababa; 7-line stanza
abababaab,versePattern,1,abababaab; 9-line stanza
abababab,versePattern,77,abababab; 8-line stanza
abababab or abababab,versePattern,1,abababab; 8-line stanza
abababab+cdddc,versePattern,1,ababababcdddc; 13-line stanza; subdivided stanza
ababababa,versePattern,1,ababababa; 9-line stanza
ababababab,versePattern,1,ababababab; 10-line stanza
abababababab,versePattern,5,abababababab; 12-line stanza
ababababababababccdccd,versePattern,1,ababababababababccdccd; 22-line stanza
ababababababababcdcd,versePattern,1,ababababababababcdcd; 20-line stanza
ababababb,versePattern,1,ababababb; 9-line stanza
ababababba,versePattern,1,ababababba; 10-line stanza
ababababbaba,versePattern,1,ababababbaba; 12-line stanza
ababababbbedde,versePattern,1,ababababbbcddc
ababababbcbc,versePattern,27,ababababbcbc; 12-line stanza
ababababbcccb,versePattern,1,ababababbcccb; 13-line stanza
ababababcab,versePattern,1,ababababcab; 11-line stanza
ababababcbab,versePattern,1,ababababcbab; 12-line stanza
ababababcbc,versePattern,2,ababababcbc; 11-line stanza
ababababcc,versePattern,3,ababababcc; 10-line stanza
ababababccc,versePattern,1,ababababccc; 11-line stanza
ababababccdccd,versePattern,1,ababababccdccd; 14-line stanza
ababababccdddc,versePattern,2,ababababccdddc; 14-line stanza
ababababcdc,versePattern,2,ababababcdc; 11-line stanza
ababababcdccd,versePattern,1,ababababcdccd; 13-line stanza
ababababcdcd,versePattern,13,ababababcdcd; 12-line stanza
ababababcdddc,versePattern,13,ababababcdddc; 13-line stanza
ababababdee,versePattern,1,ababababdee; 11-line stanza
abababbcbc,versePattern,1,abababbcbc; 10-line stanza
abababcc,versePattern,2,abababcc; 8-line stanza
abababccded,versePattern,1,abababccdcd; 10-line stanza
