Warnings from the latest run of `transform-Bibl.py`.
WARNING: Unprocessed `pubstmt` for item ChaucerSoc77: "77. London: Trübner, 1886; repr. New York and London: Johnson, 1967"
WARNING: Unprocessed `pubstmt` for item Cherry2003: "London: V & A; New York: Harry N. Abrams, 2003"
WARNING: Unprocessed `pubstmt` for item Clark1905-11: "129 (1905; repr. 1971); 130 (1906; repr. with 142, 1971); 142 (1911)"
WARNING: Unprocessed `pubstmt` for item Comper1928: "London: J. M. Dent, 1928, 1933; New York: E. P. Dutton, 1929"
WARNING: Unprocessed `pubstmt` for item Copland1548: "London, 1548; repr. Tudor Facsimile Texts. Amersham, 1914"
WARNING: Unprocessed `pubstmt` for item Coulton1931: "Cambridge: Cambridge University Press, 1931, and New York: Macmillan, 1931"
WARNING: Unprocessed `pubstmt` for item Craig1902: "87 (1902; 2nd ed. 1957)"
WARNING: Unprocessed `pubstmt` for item Cust1859: "London: Pickering, 1859; repr. New York: AMS, 1973"
WARNING: Unprocessed `pubstmt` for item Davies1964: "London, 1963; Evanston, IL: Northwestern University Press, 1964"
WARNING: Unprocessed `pubstmt` for item Deimling1892: "62 (1892); repr. 1926, 1959; e.s. 115 (1916); repr. 1935, 1959"
WARNING: Unprocessed `pubstmt` for item dEvelyn1935: "Boston: Modern Language Association of America; and London: Oxford University Press, 1935"
WARNING: Unprocessed `pubstmt` for item dEvelyn1956: "235 (1959), 236 (1956)"
WARNING: Unprocessed `pubstmt` for item Dibdin1844: "London, 1844; repr. Hildesheim: Georg Olms, 1969"
WARNING: No date value found for `@date` attribute in item DNB
WARNING: Unprocessed `pubstmt` for item DNB: "Oxford University Press"
WARNING: Unprocessed `pubstmt` for item Dodgson1936: "Strasbourg: Heitz, 1936; repr. Naarden, Netherlands: Bekhoven, 1970"
WARNING: Unprocessed `pubstmt` for item Doolittle1902: "London: Caradoc, 1902; anonymous"
WARNING: Unprocessed `pubstmt` for item Douglas1969: "[London 1553]. The English Experience, no. 89. Amsterdam: Theatrum Orbis Terrarum; New York: Da Capo, 1969. [A facsimile edition of the Copland print.]"
WARNING: Unprocessed `pubstmt` for item Dryden1840: "Middle Hill Press, 1840; repr. London: Simpkin, 1908"
WARNING: Unprocessed `pubstmt` for item Dugdale1655: "London: Hodgkinsonne, 1655; rev. eds. R. Dodsworth, J. Stevens, etc"
WARNING: Unprocessed `pubstmt` for item Dunn1973: "New York, 1973; 2nd ed. New York: Garland, 1990"
WARNING: Unprocessed `pubstmt` for item Dunn1990: "New York, 1973; 2nd ed. New York: Garland, 1990"
WARNING: Unprocessed `pubstmt` for item dUrfey1707: "1st ed., 1698-1706; 2nd ed., 6 vols, 1719-20"
WARNING: Unprocessed `pubstmt` for item Ebsworth1878: "London, 1878; repr. New York: AMS, 1968"
WARNING: Unprocessed `pubstmt` for item Edwards1985: "Norman, OK: Pilgrim, and [Woodbridge, Suffolk]: Boydell and Brewer, 1985"
WARNING: Unprocessed `pubstmt` for item Eger1669: "Glasgow, Robert Sanders, 1669 (Wing 2139)"
WARNING: Unprocessed `pubstmt` for item Eger1687: "Glasgow, Sanders (?1687) (‘Huntington’ text; Wing 2140)"
WARNING: Unprocessed `pubstmt` for item Eger1711: "Aberdeen, 1711 (‘Douce’ text)"
WARNING: Unprocessed `pubstmt` for item Elliott1963: "Oxford: Clarendon, 1963; 2nd ed. 1974"
WARNING: Unprocessed `pubstmt` for item EllisAJ1867-74: "2 (1867), 7 (1869), 14 (1871), 23 (1874), repr. 1973; issued jointly by the Philological Society, the EETS, and the Chaucer Society [2nd ser. 1, 4-5, 25] London: Trübner; ed. note: with rare exceptions, entries from these volumes are identical; where variants occur, both editions are cited"
WARNING: Unprocessed `pubstmt` for item EllisAJ1868: "(1868): 97-107"
WARNING: Unprocessed `pubstmt` for item EllisG1790: "London: Edwards, 1790; 3 vols, 1801; 5th ed., London: Washburne, 1845; rev. ed., 1 vol., 1863"
WARNING: Unprocessed `pubstmt` for item EllisG1801: "London: Edwards, 1790; 3 vols, 1801; 5th ed., London: Washburne, 1845; rev. ed., 1 vol., 1863"
WARNING: Unprocessed `pubstmt` for item EllisG1811: "London: Edwards, 1790; 3 vols, 1801; 5th ed., London: Washburne, 1845; rev. ed., 1 vol., 1863"
WARNING: Unprocessed `pubstmt` for item Erdmann1911-30: "108 (1911); 125 (1930); repr. 1984, 1973"
WARNING: Unprocessed `pubstmt` for item Farmer1907a: "1. Edinburgh and London, 1907; 2nd ed. Amersham, 1914"
WARNING: Unprocessed `pubstmt` for item Farmer1907b: "2. London and Edinburgh, 1907; 2nd ed. Amersham, 1914"
WARNING: Unprocessed `pubstmt` for item Farmer1908: "London, 1908; 2nd ed. Amersham, 1914"
WARNING: Unprocessed `pubstmt` for item Farmer1912: "London, 1912; Pynson 1510 (STC10604.5)"
WARNING: Unprocessed `pubstmt` for item Fellows1993: "London: Dent; Rutland, Vt.: Charles E. Tuttle, 1993"
WARNING: Unprocessed `pubstmt` for item Fenn1787: "London: Robinson, 1787 (The Paston Letters)"
WARNING: Unprocessed `pubstmt` for item Forster1906a: "Erlangen: Junge (1906): 40-64"
WARNING: Unprocessed `pubstmt` for item Foster1940: "New York: NYU Press; London: Humphrey Milford, Oxford University Pres, 1940"
WARNING: Unprocessed `pubstmt` for item Foster1997: "Kalamazoo, MI: Western Michigan University for TEAMS, 1997. 2nd ed. 2007"
WARNING: Unprocessed `pubstmt` for item Fowler1882-1908: "74 (1882), 78 (1886), 81 (1888), 115 (1908)"
WARNING: Unprocessed `pubstmt` for item Freebairn1714: "Edinburgh: n.p., 1714, 1758; anonymous"
WARNING: Unprocessed `pubstmt` for item FrenchRD1927: "New York: Crofts, 1927; 2nd ed., 1947"
WARNING: Unprocessed `pubstmt` for item Fries1981: "15. Kalamazoo, MI: Medieval Institute Publications, 1981: 155-78"
WARNING: Unprocessed `pubstmt` for item Fry1814: "Bristol: J. Evans, 1814; anonymous"
WARNING: Unprocessed `pubstmt` for item Fuller-Maitland1891: "London: Leadenhall Press; New York: Scribner’s, 1891"
WARNING: Unprocessed `pubstmt` for item Furnivall1858-62: "1858; Pt. 2, Berlin, 1862"
WARNING: Unprocessed `pubstmt` for item Furnivall1863: "London: Ballad Society, 1863; repr. New York: AMS, 1968"
